Model,Encoding,learningRate,numLeaves,maxDepth,minDataInLeaf,maxBin,featureFraction,minSumHessian,lambdaL1,lambdaL2,dropRate,maxDrop
LightGBM,paac,0.342814216,796.1748234,5.018699744,4.530298525,1024,0.736845001,0.011966696,0.004175148,0.004330505,0.568281582,31.84569607
LightGBM,qsorder,0.306282594,418.1390962,8.431015744,13.05132281,32,0.741625602,0.009855529,0.005535137,0.006748152,0.511975507,40.14919868
LightGBM,tpc,0.333739174,800,5,2,1024,0.770996052,0.001358563,0.006618015,0.008262383,0.511710991,100
LightGBM,pse_pssm,0.343541106,800,5,2,32,0.758765197,0.007151296,0.004845915,0.004826087,0.375887893,1
LightGBM,aatp,0.387929399,20.00824924,10,5.165351391,1024,0.51206008,0.016241651,0.007967991,0.004620271,0.611748722,92.88715486
LightGBM,ctriad,0.411634029,800,10,23.11948487,49.40053063,0.66536138,0.010972495,0.005820747,0.009333161,0.58411973,25.02353477
LightGBM,ctdt,0.337705022,735.3251265,10,2.315080774,32.09138032,0.5,0.018786091,0.01,0.001721839,0.335667501,63.0867173
