"Model"	"Encoding"	"mtry"	"time"
"RF"	"paac"	"10"	"0.0705679376920064"
"RF"	"qsorder"	"4"	"0.33062192996343"
"RF"	"ctriad"	"27"	"0.656627221902211"
"RF"	"ctdt"	"3"	"0.0663853446642558"
"RF"	"tpc"	"20"	"0.535986419518789"
"RF"	"pse_pssm"	"9"	"0.101368649800618"
"RF"	"pssm_ac"	"10"	"0.353376972675323"
"RF"	"aatp"	"10"	"0.948080917199453"
