"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"2"	"0.03125"
"SVM"	"qsorder"	"2"	"0.0078125"
"SVM"	"ctriad"	"8"	"0.0625"
"SVM"	"ctdt"	"0.5"	"0.03125"
"SVM"	"tpc"	"16"	"0.001953125"
"SVM"	"pse_pssm"	"32"	"0.03125"
"SVM"	"pssm_ac"	"128"	"0.00390625"
"SVM"	"aatp"	"16"	"0.0009765625"
