"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"2"	"0.03125"
"SVM"	"qsorder"	"4"	"0.00390625"
"SVM"	"ctriad"	"32"	"0.001953125"
"SVM"	"ctdt"	"4"	"0.00390625"
"SVM"	"tpc"	"8"	"0.0009765625"
"SVM"	"pse_pssm"	"2"	"0.25"
"SVM"	"pssm_ac"	"16"	"0.03125"
"SVM"	"aatp"	"8"	"0.0009765625"
