"Model"	"Encoding"	"nrounds"	"objective"	"eval_metric"	"max_depth"	"eta"	"gamma"	"subsample"	"colsample_bytree"	"min_child_weight"	"max_delta_step"	"seed"	"auc"
"xgboost"	"paac"	"497"	"binary:logistic"	"auc"	"5"	"0.017"	"0.1104"	"0.6696"	"0.6091"	"1"	"6"	"261"	"0.932914"
"xgboost"	"qsorder"	"297"	"binary:logistic"	"auc"	"7"	"0.0173"	"0.0907"	"0.6731"	"0.5542"	"2"	"0"	"507"	"0.9157668"
"xgboost"	"ctriad"	"444"	"binary:logistic"	"auc"	"8"	"0.0151"	"0.045"	"0.7735"	"0.7317"	"5"	"5"	"502"	"0.926308"
"xgboost"	"ctdt"	"132"	"binary:logistic"	"auc"	"8"	"0.0232"	"0.0976"	"0.7333"	"0.5058"	"1"	"1"	"160"	"0.918949"
"xgboost"	"tpc"	"465"	"binary:logistic"	"auc"	"6"	"0.0221"	"0.0769"	"0.8528"	"0.6721"	"9"	"0"	"790"	"0.8754792"
"xgboost"	"pse_pssm"	"499"	"binary:logistic"	"auc"	"5"	"0.015"	"0.0198"	"0.605"	"0.6376"	"12"	"6"	"463"	"0.815311"
"xgboost"	"pssm_ac"	"430"	"binary:logistic"	"auc"	"7"	"0.022"	"0.0745"	"0.6115"	"0.7728"	"3"	"5"	"354"	"0.91052"
"xgboost"	"aatp"	"451"	"binary:logistic"	"auc"	"5"	"0.0294"	"0.1983"	"0.8852"	"0.6013"	"7"	"9"	"33"	"0.9019866"
