"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"8"	"0.03125"
"SVM"	"qsorder"	"16"	"0.001953125"
"SVM"	"ctriad"	"8"	"0.125"
"SVM"	"ctdt"	"0.5"	"0.0625"
"SVM"	"tpc"	"16"	"0.00390625"
"SVM"	"pse_pssm"	"4"	"0.03125"
"SVM"	"pssm_ac"	"32"	"0.015625"
"SVM"	"aatp"	"4"	"0.0009765625"
