"Model"	"Encoding"	"nrounds"	"objective"	"eval_metric"	"max_depth"	"eta"	"gamma"	"subsample"	"colsample_bytree"	"min_child_weight"	"max_delta_step"	"seed"	"auc"
"xgboost"	"paac"	"170"	"binary:logistic"	"auc"	"5"	"0.0259"	"0.0322"	"0.7646"	"0.695"	"5"	"6"	"565"	"0.9053676"
"xgboost"	"qsorder"	"399"	"binary:logistic"	"auc"	"5"	"0.02"	"0.118"	"0.8544"	"0.5802"	"5"	"1"	"403"	"0.894151"
"xgboost"	"ctriad"	"445"	"binary:logistic"	"auc"	"5"	"0.0294"	"0.1512"	"0.7573"	"0.6095"	"1"	"8"	"761"	"0.9145202"
"xgboost"	"ctdt"	"463"	"binary:logistic"	"auc"	"6"	"0.0113"	"0.1762"	"0.7884"	"0.543"	"13"	"10"	"270"	"0.90352"
"xgboost"	"tpc"	"355"	"binary:logistic"	"auc"	"7"	"0.0132"	"0.186"	"0.82"	"0.6047"	"2"	"1"	"660"	"0.9196658"
"xgboost"	"pse_pssm"	"336"	"binary:logistic"	"auc"	"7"	"0.0177"	"0.0785"	"0.7066"	"0.6792"	"2"	"8"	"362"	"0.9299522"
"xgboost"	"pssm_ac"	"465"	"binary:logistic"	"auc"	"4"	"0.0167"	"0.1271"	"0.6655"	"0.5743"	"2"	"4"	"880"	"0.9097874"
"xgboost"	"aatp"	"257"	"binary:logistic"	"auc"	"5"	"0.0283"	"0.0635"	"0.6313"	"0.6938"	"2"	"9"	"321"	"0.9051646"
