"Model"	"Encoding"	"nrounds"	"objective"	"eval_metric"	"max_depth"	"eta"	"gamma"	"subsample"	"colsample_bytree"	"min_child_weight"	"max_delta_step"	"seed"	"auc"
"xgboost"	"paac"	"332"	"binary:logistic"	"auc"	"7"	"0.02"	"0.1494"	"0.8467"	"0.7138"	"5"	"7"	"233"	"0.9071014"
"xgboost"	"qsorder"	"422"	"binary:logistic"	"auc"	"6"	"0.018"	"0.0453"	"0.8487"	"0.662"	"16"	"7"	"540"	"0.9105784"
"xgboost"	"ctriad"	"410"	"binary:logistic"	"auc"	"6"	"0.026"	"0.0763"	"0.6982"	"0.7584"	"1"	"10"	"104"	"0.9277738"
"xgboost"	"ctdt"	"100"	"binary:logistic"	"auc"	"6"	"0.0167"	"0.1265"	"0.7655"	"0.7888"	"1"	"5"	"984"	"0.9073714"
"xgboost"	"tpc"	"500"	"binary:logistic"	"auc"	"7"	"0.0119"	"0.0517"	"0.7412"	"0.5906"	"3"	"7"	"505"	"0.9526684"
"xgboost"	"pse_pssm"	"296"	"binary:logistic"	"auc"	"5"	"0.0249"	"0.0823"	"0.6569"	"0.6971"	"5"	"3"	"604"	"0.8977296"
"xgboost"	"pssm_ac"	"417"	"binary:logistic"	"auc"	"7"	"0.0271"	"0.1829"	"0.7251"	"0.6149"	"7"	"9"	"881"	"0.9038116"
"xgboost"	"aatp"	"317"	"binary:logistic"	"auc"	"5"	"0.0285"	"0.0076"	"0.8863"	"0.7998"	"4"	"4"	"442"	"0.9209582"
