"Model"	"Encoding"	"nrounds"	"objective"	"eval_metric"	"max_depth"	"eta"	"gamma"	"subsample"	"colsample_bytree"	"min_child_weight"	"max_delta_step"	"seed"	"auc"
"xgboost"	"paac"	"343"	"binary:logistic"	"auc"	"8"	"0.0171"	"0.1622"	"0.6884"	"0.5653"	"10"	"0"	"674"	"0.8868232"
"xgboost"	"qsorder"	"427"	"binary:logistic"	"auc"	"7"	"0.0246"	"0.1941"	"0.7265"	"0.6961"	"3"	"3"	"424"	"0.9121128"
"xgboost"	"ctriad"	"339"	"binary:logistic"	"auc"	"8"	"0.0209"	"0.0224"	"0.8031"	"0.7316"	"5"	"8"	"444"	"0.8857456"
"xgboost"	"ctdt"	"137"	"binary:logistic"	"auc"	"7"	"0.0268"	"0.0689"	"0.8501"	"0.7029"	"8"	"7"	"146"	"0.9148474"
"xgboost"	"tpc"	"500"	"binary:logistic"	"auc"	"5"	"0.0218"	"0.0186"	"0.7987"	"0.5839"	"10"	"0"	"252"	"0.8854678"
"xgboost"	"pse_pssm"	"421"	"binary:logistic"	"auc"	"7"	"0.0249"	"0.1017"	"0.7782"	"0.5913"	"1"	"2"	"969"	"0.9034604"
"xgboost"	"pssm_ac"	"426"	"binary:logistic"	"auc"	"7"	"0.0237"	"0.1191"	"0.8818"	"0.5312"	"8"	"2"	"391"	"0.8491338"
"xgboost"	"aatp"	"494"	"binary:logistic"	"auc"	"7"	"0.0214"	"0.0669"	"0.7079"	"0.724"	"6"	"5"	"927"	"0.8999964"
