Model,Encoding,learningRate,numLeaves,maxDepth,minDataInLeaf,maxBin,featureFraction,minSumHessian,lambdaL1,lambdaL2,dropRate,maxDrop
LightGBM,paac,0.219368941,652.5982332,9.967762919,2,32,0.75611025,0.013442648,0.004753904,0.007854042,0.540188502,100
LightGBM,qsorder,0.329433884,22.30255626,5,2,32,0.608617363,0.005430302,0.007104066,0.005166192,0.833601202,99.16098727
LightGBM,tpc,0.298029363,20,10,2,32,0.568019341,0.016007586,0.002713713,0.005566371,0.561245368,31.88341444
LightGBM,pse_pssm,0.447993434,782.0550671,6.76529864,19.31308231,996.8531708,0.5,0.018273989,0.002280781,0.00888852,0.447021319,34.8321712
LightGBM,aatp,0.214178355,789.3211436,8.506784264,2,1006.398424,0.565805377,0.005386186,0.007107563,0.00732162,0.772154121,100
LightGBM,ctriad,0.329260889,43.20791482,5.376898569,23.76633158,38.23656682,0.69347896,0.005503044,0,0.005743109,0.655689967,7.610978581
LightGBM,ctdt,0.580288686,800,9.097141082,2,32,0.617160441,0.014450877,0.001531351,0,0.741729248,67.15156801
