"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"64"	"0.00390625"
"SVM"	"qsorder"	"8"	"0.001953125"
"SVM"	"ctriad"	"4"	"0.125"
"SVM"	"ctdt"	"8"	"0.03125"
"SVM"	"tpc"	"4"	"0.00390625"
"SVM"	"pse_pssm"	"1"	"0.0625"
"SVM"	"pssm_ac"	"32"	"0.0078125"
"SVM"	"aatp"	"16"	"0.001953125"
