"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"2"	"0.03125"
"SVM"	"qsorder"	"8"	"0.015625"
"SVM"	"ctriad"	"16"	"0.125"
"SVM"	"ctdt"	"4"	"0.0625"
"SVM"	"tpc"	"64"	"0.0009765625"
"SVM"	"pse_pssm"	"8"	"0.015625"
"SVM"	"pssm_ac"	"64"	"0.0078125"
"SVM"	"aatp"	"8"	"0.001953125"
