"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"4"	"0.0625"
"SVM"	"qsorder"	"2"	"0.015625"
"SVM"	"ctriad"	"4"	"0.125"
"SVM"	"ctdt"	"4"	"0.0625"
"SVM"	"tpc"	"16"	"0.001953125"
"SVM"	"pse_pssm"	"4"	"0.03125"
"SVM"	"pssm_ac"	"16"	"0.015625"
"SVM"	"aatp"	"16"	"0.001953125"
