"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"8"	"0.00390625"
"SVM"	"qsorder"	"8"	"0.015625"
"SVM"	"ctriad"	"32"	"0.015625"
"SVM"	"ctdt"	"1"	"0.0625"
"SVM"	"tpc"	"4"	"0.001953125"
"SVM"	"pse_pssm"	"32"	"0.03125"
"SVM"	"pssm_ac"	"32"	"0.015625"
"SVM"	"aatp"	"8"	"0.0009765625"
