"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"128"	"0.00390625"
"SVM"	"qsorder"	"4"	"0.015625"
"SVM"	"ctriad"	"2"	"0.125"
"SVM"	"ctdt"	"256"	"0.0009765625"
"SVM"	"tpc"	"4"	"0.001953125"
"SVM"	"pse_pssm"	"128"	"0.00390625"
"SVM"	"pssm_ac"	"16"	"0.03125"
"SVM"	"aatp"	"4"	"0.0009765625"
