"Model"	"Encoding"	"cost"	"gamma"
"SVM"	"paac"	"4"	"0.03125"
"SVM"	"qsorder"	"16"	"0.0009765625"
"SVM"	"ctriad"	"2"	"0.125"
"SVM"	"ctdt"	"64"	"0.00390625"
"SVM"	"tpc"	"16"	"0.001953125"
"SVM"	"pse_pssm"	"2"	"0.125"
"SVM"	"pssm_ac"	"32"	"0.00390625"
"SVM"	"aatp"	"4"	"0.00390625"
