"Class","acc_0","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17"
1,-0.02374395,-0.04673773,0.00386183,-0.06306081,-0.09334767,-0.04228923,0.02845395,-0.01660566,0.03704563,0.01816201,-0.0059508,-0.0059779,0.06192576,-0.01357598,0.10622725,0.00419911,-0.03426734,-0.01485964
1,-0.0167588,-0.0074932,-0.01969194,-0.07649496,-0.07425483,-0.04995474,-0.0134305,-0.0148688,0.04190163,0.0179106,0.00563022,-0.00580893,0.08250069,-0.02388368,0.06164875,0.03810813,0.01476052,-0.02646668
1,-0.0560012,-0.02878908,-0.02405028,-0.08676099,-0.12997399,-0.04468898,0.01931037,0.01963251,0.05692,-0.00978371,-0.00476352,-0.01937818,0.11486449,-0.00344807,0.09895152,-0.00403918,0.03548469,-0.03748523
1,0.06620968,0.0623266,0.02054325,-0.04144561,-0.03280302,-0.02206326,-0.06996599,0.00625718,-0.03220016,-0.03318301,-0.10552252,0.07447256,0.01995913,0.04486846,0.02530131,0.01199855,0.00997058,0.06085918
1,-0.0470168,-0.05645448,-0.02815343,-0.04148451,-0.06622075,0.00752475,-0.0055949,0.10084409,0.07883788,-0.08295885,-0.09680783,0.10262092,0.06210025,-0.01254397,0.06193627,0.02782311,0.00946776,-0.04364505
1,-0.0290395,-0.01348007,0.02387474,-0.08141754,-0.02412286,0.01750959,0.02323638,-0.01647122,0.02873921,-0.03586309,0.03695924,-0.04136765,0.04675657,0.05386025,0.04718897,-0.0568269,0.00162464,-0.00688121
1,-0.02017109,0.03477098,0.0446362,-0.05026393,-0.03666384,0.03736881,-0.02079978,-0.01230257,0.0146756,-0.03348044,0.03239528,-0.00632532,0.04064626,0.01984269,0.03845385,-0.02380905,0.02650836,-0.02338823
1,-0.0023305,0.02710717,0.0730499,-0.05515134,-0.07277031,0.01950543,0.0070541,-0.04092325,0.00494213,0.01110877,-0.00882386,-0.01334258,0.06112999,0.00833328,0.08680572,-0.04494225,-0.0088098,-0.00101678
1,-0.0592713,-0.07256131,-0.04544502,-0.00684554,-0.02866155,-0.0477566,0.06955533,-0.020844,0.06052082,0.03602673,-0.03284424,0.04799472,0.00360231,0.0082084,0.05121857,-0.05493114,0.00876414,-0.01044826
1,0.02109227,-0.01070891,-0.0366689,-0.03240045,-0.01991314,-0.06967145,-0.01282651,-0.06475191,-0.02523595,0.07855053,-0.01805406,0.0282207,0.01953899,0.00499718,0.03079572,-0.00491056,0.0480712,-0.0245448
1,-0.05379231,-0.02589571,-0.08770655,-0.03698315,-0.04011157,-0.07009113,0.0635699,-0.02601082,0.01977997,0.02765608,0.0182849,0.01787278,0.05199143,0.02035695,0.02965404,-0.0341088,0.0732412,-0.05806012
1,-0.00354402,-0.02719328,-0.02418207,-0.08848395,-0.10077976,-0.07031966,0.00946021,-0.00611215,0.0311961,0.01422498,-0.01740744,-0.00202217,0.06430873,0.11548983,0.1000167,-0.07827009,0.04629985,-0.02231032
1,-0.01622089,-0.02057103,-0.04449072,-0.08884203,-0.10413997,-0.0177633,0.014513,0.02322543,0.0182434,-0.01278744,-0.01031761,0.01614646,0.07314431,0.03602754,0.108461,-0.02564275,0.00894168,-0.00298724
1,-0.10730958,-0.07508754,-0.04372445,-0.03034626,-0.03935227,-0.06251378,0.10431122,0.0101247,0.08353733,0.0155502,0.06063146,-0.06529988,0.01878405,0.07168896,0.04232401,-0.0680208,0.06448071,-0.03695312
1,0.07173557,0.04370832,0.00982671,-0.06188309,-0.06861274,0.0235476,-0.08466924,-0.09068152,-0.02270849,0.07145802,0.00352957,0.00773271,0.0878164,-0.0241979,0.07229724,-0.00217726,-0.00614913,-0.04147838
1,0.02316755,0.01655158,0.00100475,-0.02290652,-0.04986753,-0.03350036,0.01445334,-0.06746471,-0.05524619,0.11653363,-0.03228057,0.03893096,0.03095401,-0.05312385,0.04402927,0.05467625,0.03763377,0.00398448
1,0.0030354,-0.04678723,-0.00916769,-0.04834272,-0.06629959,-0.06913506,-0.00512997,-0.03878212,0.03012336,0.08531255,0.00131765,-3.098e-05,0.04789565,0.00577546,0.11328798,-0.02344064,0.00749992,0.02001241
1,-0.08822538,-0.10887585,0.00057609,-0.05897402,-0.02436996,-0.00105,0.12673917,0.03048421,0.07070119,-0.02137031,0.0037077,0.02189379,0.02278331,-0.02235783,0.0591547,-0.01004845,-0.01092505,0.03552881
