"Class","ctdc_0","ctdc_1","ctdc_2","ctdc_3","ctdc_4","ctdc_5","ctdc_6","ctdc_7","ctdc_8","ctdc_9","ctdc_10","ctdc_11","ctdc_12","ctdc_13","ctdc_14","ctdc_15","ctdc_16","ctdc_17","ctdc_18","ctdc_19","ctdc_20","ctdc_21","ctdc_22","ctdc_23","ctdc_24","ctdc_25","ctdc_26","ctdc_27","ctdc_28","ctdc_29","ctdc_30","ctdc_31","ctdc_32","ctdc_33","ctdc_34","ctdc_35","ctdc_36","ctdc_37","ctdc_38"
1,0.37643207856,0.356792144026,0.266775777414,0.446808510638,0.335515548282,0.21767594108,0.602291325696,0.180032733224,0.21767594108,0.481178396072,0.238952536825,0.279869067103,0.597381342062,0.315875613748,0.0867430441899,0.433715220949,0.299509001637,0.266775777414,0.381342062193,0.216039279869,0.402618657938,0.407528641571,0.422258592471,0.170212765957,0.279869067103,0.337152209493,0.382978723404,0.368248772504,0.461538461538,0.170212765957,0.112929623568,0.713584288052,0.17348608838,0.489361702128,0.250409165303,0.26022913257,0.446808510638,0.37643207856,0.176759410802
1,0.322505800464,0.385150812065,0.292343387471,0.440835266821,0.315545243619,0.243619489559,0.584686774942,0.174013921114,0.241299303944,0.412993039443,0.264501160093,0.322505800464,0.559164733179,0.322505800464,0.118329466357,0.394431554524,0.315545243619,0.290023201856,0.315545243619,0.243619489559,0.440835266821,0.408352668213,0.385150812065,0.206496519722,0.322505800464,0.338747099768,0.338747099768,0.380510440835,0.412993039443,0.206496519722,0.092807424594,0.751740139211,0.155452436195,0.417633410673,0.278422273782,0.303944315545,0.473317865429,0.322505800464,0.204176334107
1,0.287719298246,0.424561403509,0.287719298246,0.414035087719,0.357894736842,0.228070175439,0.540350877193,0.231578947368,0.228070175439,0.431578947368,0.256140350877,0.312280701754,0.550877192982,0.350877192982,0.0982456140351,0.389473684211,0.322807017544,0.287719298246,0.312280701754,0.238596491228,0.449122807018,0.410526315789,0.378947368421,0.210526315789,0.312280701754,0.368421052632,0.319298245614,0.354385964912,0.435087719298,0.210526315789,0.0912280701754,0.771929824561,0.136842105263,0.459649122807,0.270175438596,0.270175438596,0.459649122807,0.287719298246,0.252631578947
1,0.288732394366,0.404929577465,0.306338028169,0.397887323944,0.37323943662,0.228873239437,0.524647887324,0.253521126761,0.221830985915,0.411971830986,0.260563380282,0.327464788732,0.528169014085,0.352112676056,0.119718309859,0.383802816901,0.316901408451,0.299295774648,0.299295774648,0.228873239437,0.471830985915,0.419014084507,0.37676056338,0.204225352113,0.327464788732,0.348591549296,0.323943661972,0.369718309859,0.426056338028,0.204225352113,0.0915492957746,0.771126760563,0.137323943662,0.426056338028,0.288732394366,0.285211267606,0.492957746479,0.288732394366,0.218309859155
1,0.296928327645,0.409556313993,0.293515358362,0.399317406143,0.354948805461,0.245733788396,0.563139931741,0.19795221843,0.238907849829,0.389078498294,0.290102389078,0.320819112628,0.518771331058,0.358361774744,0.122866894198,0.389078498294,0.324232081911,0.286689419795,0.286689419795,0.232081911263,0.481228668942,0.402730375427,0.39590443686,0.201365187713,0.320819112628,0.354948805461,0.324232081911,0.358361774744,0.440273037543,0.201365187713,0.0819112627986,0.778156996587,0.139931740614,0.457337883959,0.273037542662,0.269624573379,0.508532423208,0.296928327645,0.194539249147
1,0.330357142857,0.377976190476,0.291666666667,0.440476190476,0.357142857143,0.202380952381,0.589285714286,0.214285714286,0.196428571429,0.443452380952,0.241071428571,0.315476190476,0.568452380952,0.348214285714,0.0833333333333,0.392857142857,0.321428571429,0.285714285714,0.339285714286,0.229166666667,0.431547619048,0.422619047619,0.375,0.202380952381,0.315476190476,0.339285714286,0.345238095238,0.392857142857,0.404761904762,0.202380952381,0.104166666667,0.75,0.145833333333,0.425595238095,0.291666666667,0.282738095238,0.452380952381,0.330357142857,0.217261904762
1,0.306406685237,0.381615598886,0.311977715877,0.42061281337,0.359331476323,0.220055710306,0.557103064067,0.228412256267,0.214484679666,0.42061281337,0.242339832869,0.33704735376,0.557103064067,0.33426183844,0.108635097493,0.376044568245,0.317548746518,0.306406685237,0.309192200557,0.24791086351,0.442896935933,0.412256267409,0.364902506964,0.222841225627,0.33704735376,0.339832869081,0.323119777159,0.376044568245,0.401114206128,0.222841225627,0.108635097493,0.768802228412,0.122562674095,0.392757660167,0.317548746518,0.289693593315,0.467966573816,0.306406685237,0.225626740947
1,0.370901639344,0.358606557377,0.270491803279,0.426229508197,0.295081967213,0.27868852459,0.563524590164,0.172131147541,0.264344262295,0.481557377049,0.21106557377,0.30737704918,0.606557377049,0.274590163934,0.118852459016,0.495901639344,0.247950819672,0.256147540984,0.362704918033,0.243852459016,0.393442622951,0.366803278689,0.360655737705,0.272540983607,0.30737704918,0.295081967213,0.397540983607,0.305327868852,0.422131147541,0.272540983607,0.118852459016,0.729508196721,0.151639344262,0.401639344262,0.284836065574,0.313524590164,0.372950819672,0.370901639344,0.256147540984
1,0.390099009901,0.354455445545,0.255445544554,0.445544554455,0.287128712871,0.267326732673,0.578217821782,0.168316831683,0.253465346535,0.477227722772,0.225742574257,0.29702970297,0.617821782178,0.253465346535,0.128712871287,0.512871287129,0.245544554455,0.241584158416,0.368316831683,0.249504950495,0.382178217822,0.370297029703,0.330693069307,0.29900990099,0.29702970297,0.283168316832,0.419801980198,0.314851485149,0.386138613861,0.29900990099,0.120792079208,0.720792079208,0.158415841584,0.409900990099,0.277227722772,0.312871287129,0.358415841584,0.390099009901,0.251485148515
1,0.297169811321,0.367924528302,0.334905660377,0.377358490566,0.339622641509,0.283018867925,0.533018867925,0.188679245283,0.278301886792,0.405660377358,0.254716981132,0.339622641509,0.509433962264,0.353773584906,0.13679245283,0.372641509434,0.297169811321,0.330188679245,0.292452830189,0.216981132075,0.490566037736,0.38679245283,0.415094339623,0.198113207547,0.339622641509,0.325471698113,0.334905660377,0.353773584906,0.448113207547,0.198113207547,0.0990566037736,0.77358490566,0.127358490566,0.466981132075,0.283018867925,0.25,0.495283018868,0.297169811321,0.207547169811
