ac_0,ac_1,ac_2,ac_3,ac_4,ac_5
-0.08564823,-0.08751423,-0.02047584,-0.01084482,-0.05027253,-0.02925995
0.01776113,-0.01677372,0.02248128,-0.04073755,-0.0384027,0.03799793
0.00063079,0.03647506,-0.0623127,-0.0865645,-0.11917439,-0.00399174
-0.01313442,0.00135642,-0.00244763,-0.01014692,-0.05427911,0.07117267
-0.02730322,-0.10806964,0.01835137,0.00819961,0.00428287,-0.09367437
-0.12164731,-0.06461069,-0.06665394,-0.14911233,-0.13588313,0.04651238
-0.02461419,-0.01451513,-0.07838715,-0.03321425,-0.03487627,-0.03190204
0.09157418,-0.00784895,0.02499275,-0.26080246,-0.19004346,-0.21695149
0.05677815,0.01069308,0.0145697,-0.09158072,-0.09247813,0.06865009
0.04911531,-0.13121263,0.03257615,0.04512383,0.01580808,-0.0191053
-0.17491726,-0.11905174,-0.07529818,-0.01397146,-0.06371545,-0.03732451
-0.16725088,-0.15226564,-0.06382406,-0.09066602,-0.05391639,-0.07715611
-0.05118769,-0.06103889,-0.02718426,-0.00466056,-0.06828089,-0.04889489
-0.01874151,-0.09076357,0.0235726,-0.08712963,-0.0852312,-0.09005198
-0.06289924,0.01650297,0.03611123,-0.15013895,-0.18003506,-0.02049695
-0.02544799,-0.03513265,0.00355876,-0.08865905,-0.05752444,-0.02796203
-0.0567341,-0.00050698,0.01733418,-0.08449287,-0.0763923,-0.00375392
0.02071401,0.01555895,0.05752256,-0.01732207,-0.08303252,0.01698575
0.03497854,0.07047089,-0.03832114,-0.10736827,-0.09447853,0.01606281
-0.05798077,-0.01515696,0.00132117,-0.27087611,-0.23568433,-0.08698451
0.08554867,0.04939517,0.0091313,0.14556228,0.04258356,-0.02606609
0.01013513,0.03178255,0.03144457,-0.11212938,-0.10584924,0.00257257
0.02000356,0.01256847,0.03480157,-0.11418306,-0.13258978,0.00760406
0.04952483,-0.0208973,0.01919798,-0.02282954,-0.03054024,-0.00442856
0.04738143,-0.00768602,0.03688922,-0.03819937,-0.01896006,0.01382019
-0.07204625,-0.06321485,-0.04700922,-0.04370527,-0.03881683,-0.01670138
-0.18719816,-0.10334394,-0.08102755,-0.02039837,0.01900974,0.05553329
-0.08056062,0.13143856,-0.15337297,-0.08222935,-0.07931779,-0.13247654
-0.02588915,-0.00685048,0.0322134,-0.00152113,-0.07861609,-0.06282315
0.00974417,-0.03424006,0.07322958,-0.11730528,-0.12568578,-0.00142782
0.00620459,-0.0223035,0.00624362,-0.04941444,-0.11252501,0.07992235
-0.07591484,-0.07429961,-0.03009083,-0.0458715,-0.03623244,-0.02881983
