ac_0,ac_1,ac_2,ac_3,ac_4,ac_5
-0.05141045,-0.09305364,-0.05136321,-0.06315782,0.0040145,-0.02690008
-0.10230884,-0.05898775,-0.03548772,-0.09391496,0.00880786,-0.03896598
0.02028832,0.05524985,0.06247024,-0.07840233,-0.11648708,-0.02191548
0.01441594,0.01811562,0.07035129,-0.04824534,-0.04010422,-0.01489272
0.046101,-0.02868122,-0.00396641,-0.0860775,-0.05901775,-0.08643409
-0.0163296,-0.0191021,0.00239585,-0.11531095,-0.07069955,-0.03194894
-0.02426119,-0.00446787,-0.00471318,-0.16002124,-0.14047185,-0.02963621
0.07895848,0.0811899,-0.03040662,0.00967533,-0.12869083,0.0291987
-0.000803,-0.15845447,0.00192257,-0.01976257,-0.07571914,0.00047568
0.00992634,-0.10857581,-0.04949694,-0.10961499,-0.125356,-0.05246541
0.03067402,-0.10880844,-0.08394047,0.03769873,-0.01453292,-0.11999621
-0.51223376,-0.3023456,0.01576163,0.12591311,0.10177236,0.0553757
-0.38073119,-0.3531281,0.00615432,0.07303203,-0.00877129,0.05725492
-0.55621593,-0.35939933,-0.09613158,0.2187134,0.13922115,0.00252865
-0.29764235,-0.35116853,-0.02038148,0.20836717,0.05609598,-0.02880883
-0.38910186,-0.44708191,0.00667423,0.22561153,0.06544366,0.01780867
-0.0269293,-0.08316114,0.01817749,0.17869051,0.12200932,-0.08756039
-0.59532616,-0.45374002,-0.08650911,0.51545788,0.34539043,0.03148737
-0.44662629,-0.32702614,-0.00333229,0.3844937,0.1207988,-0.00014616
-0.04564923,-0.04383401,-0.04439912,0.02029707,0.00081954,0.00028008
-0.1065253,-0.04338905,-0.02263556,0.05864403,0.04555403,0.00410105
0.01924121,-0.06159776,0.01150428,0.07221265,-0.0441556,-0.00812597
-0.00787184,0.00123503,-0.00090811,0.05404638,-0.00330454,0.0449261
0.03904069,-0.04963443,-0.0069907,0.09777441,-0.05046632,-0.02207877
-0.02411817,-0.03315351,-0.02305902,-0.0365727,-0.08606191,-0.02371998
-0.04477694,-0.04869086,-0.01866814,-0.05377426,-0.08631454,0.01173806
-0.05530617,-0.0359906,-0.05497655,0.02458417,-0.00226852,0.02536858
0.01902668,-0.03662465,-0.01219175,0.07539655,-0.03422565,0.01514548
0.06113514,-0.01222101,-0.01599868,0.09008886,0.00211752,-0.01308477
-0.04660437,-0.00136213,-0.01670679,0.04939451,-0.01030927,0.01453365
-0.07030381,-0.06988227,-0.01716789,-0.03592478,-0.04665948,0.00342633
-0.04775144,-0.04855781,-0.00882899,0.14728035,0.00201917,0.00980876
-0.16780423,-0.09905285,-0.06357374,0.12836955,0.06511327,-0.05180232
-0.1699272,-0.14018065,-0.11993809,0.10700402,0.06261294,0.01390542
-0.02131464,-0.07781742,-0.00754746,0.14332833,-0.04989885,-0.04265404
0.1858819,0.03875939,-0.05719397,0.01400583,-0.0313589,-0.02649191
0.03615183,0.00911934,-0.07626177,0.08610038,0.00483351,0.00214088
-0.16965342,-0.15656263,-0.06748314,0.13627194,0.09616383,-7.43e-06
-0.16291611,-0.18405298,-0.04259565,0.18976357,0.11490861,0.04092958
-0.14747982,-0.09228621,0.00596886,0.01470379,-0.02959303,-0.04587394
0.00855301,-0.1400655,-0.03464511,0.2227008,-0.00740595,0.05689713
-0.18428883,-0.28395779,-0.02694841,0.17772235,0.08506837,0.00824389
-0.02310215,-0.09910941,-0.00734614,-0.06226403,-0.00218008,-0.07491652
0.02950033,-0.00080313,0.02593803,-0.10885292,-0.05904902,0.03938315
-0.0501195,-0.01751351,0.02648325,-0.01458861,0.01648955,0.08632808
