socnumber_0,socnumber_1,socnumber_2,socnumber_3,socnumber_4,socnumber_5,socnumber_6,socnumber_7,socnumber_8,socnumber_9,socnumber_10,socnumber_11,socnumber_12,socnumber_13,socnumber_14,socnumber_15,socnumber_16,socnumber_17,socnumber_18,socnumber_19
0.398969171548,0.449606251572,0.407256394958,0.403111385263,0.407320540084,0.414843179704,0.381944877119,0.386815747346,0.392452951064,0.42024533049,10631.3117155,11685.6624738,10825.2163866,10415.6463158,10800.6075949,11389.5200846,9918.77330508,10490.2186837,10544.9042553,10572.5820896
0.374257657277,0.36525676,0.375091084906,0.335586427896,0.364418196682,0.351547845606,0.3515446,0.343356749403,0.360326732057,0.343854429257,10103.8615023,10107.2729412,9552.34669811,9075.56737589,9907.59004739,9487.87410926,9257.97380952,9580.1575179,9307.3062201,9188.36211031
0.362168779449,0.378293824121,0.343351110831,0.360460325758,0.356977734177,0.365451076142,0.348873735369,0.374156020408,0.366894503836,0.348268833333,10154.5238095,10666.4020101,10040.6020151,10234.459596,10397.5822785,10325.3248731,9955.28498728,10241.625,10088.1176471,10074.7666667
0.365108816327,0.403035086957,0.374571107692,0.36112437018,0.367699507732,0.369446317829,0.359999246114,0.397321722078,0.335430317708,0.361993874674,10117.1020408,11056.3452685,10503.8435897,10106.4267352,10476.2396907,10497.5891473,10653.3264249,10408.8,9271.59114583,10742.8694517
0.391449953586,0.40099229661,0.393088451064,0.431749405983,0.416089150215,0.390408987069,0.364832294372,0.423157469565,0.367258052402,0.387934429825,10164.2489451,10957.220339,10383.7744681,11999.2307692,12052.0600858,10496.8577586,10261.1082251,11076.5391304,9239.01310044,10233.7587719
0.326508082051,0.322350608247,0.284283709845,0.33037209375,0.33302552356,0.316268431579,0.347858825397,0.338022898936,0.335725181818,0.297489446237,9338.51794872,10154.1185567,9086.61139896,8850.26041667,9408.01570681,8872.9,9938.07936508,9901.18617021,9991.56684492,8735.49462366
0.407785434164,0.392070313539,0.362289249703,0.375330972619,0.389863722288,0.389369,0.389146001195,0.382614202153,0.383231705389,0.394627473621,10700.9240807,10209.9738717,9934.51724138,9836.13333333,10237.3230036,10135.75179,10214.3178017,10245.6399522,9801.51137725,10383.5563549
0.389164970588,0.408791792899,0.40855852381,0.367628143713,0.38808603012,0.362460763636,0.364291256098,0.368738619632,0.387656759259,0.396437018634,10636.5235294,9701.57988166,10457.7619048,9366.34131737,9908.96385542,8339.72121212,9387.57317073,9013.51533742,9364.35185185,9464.78881988
0.393590240223,0.395024960674,0.384160271186,0.356167596591,0.435580382857,0.384966287356,0.339328075145,0.356781284884,0.389019725146,0.352471070588,10999.1731844,11503.7022472,11136.4237288,10433.3295455,12084.9771429,10768.1896552,9601.56069364,10231.2383721,11237.005848,10352.4529412
0.391145461988,0.426118394118,0.383742597633,0.365154940476,0.393962227545,0.377166391566,0.368916006061,0.350189121951,0.346790588957,0.415342191358,11365.245614,11264.3941176,10554.0177515,10597.1845238,10471.8862275,9705.62650602,9862.8969697,10050.0182927,9500.22699387,10333.3641975
