aac_pssm_0,aac_pssm_1,aac_pssm_2,aac_pssm_3,aac_pssm_4,aac_pssm_5,aac_pssm_6,aac_pssm_7,aac_pssm_8,aac_pssm_9,aac_pssm_10,aac_pssm_11,aac_pssm_12,aac_pssm_13,aac_pssm_14,aac_pssm_15,aac_pssm_16,aac_pssm_17,aac_pssm_18,aac_pssm_19
-0.465553235908,-0.592901878914,-1.45302713987,-1.0375782881,-2.40083507307,-1.09812108559,-0.866388308977,-1.68475991649,-0.461377870564,-1.13987473904,-1.05845511482,-1.34029227557,-1.08559498956,-1.33611691023,-1.72025052192,-1.18162839248,-1.08559498956,-1.40083507307,-1.06054279749,-1.12317327766
0.103044496487,-0.496487119438,-0.83606557377,-0.824355971897,-1.42154566745,-0.370023419204,-0.426229508197,-0.927400468384,-0.475409836066,-1.037470726,-1.018735363,-0.779859484778,-0.440281030445,-1.22482435597,-1.2224824356,-0.405152224824,-0.395784543326,-1.82669789227,-1.04215456674,-0.763466042155
-0.275,-0.8175,-0.885,-1.0225,-0.7225,-0.6775,-0.7075,-1.1725,-0.1975,-0.7825,-1.0925,-0.8825,-0.28,-1.355,-1.415,-0.5025,-0.575,-1.26,-0.895,-0.7925
-0.229007633588,-0.735368956743,-0.745547073791,-0.98727735369,-0.580152671756,-0.664122137405,-0.58524173028,-1.04834605598,-0.10941475827,-0.793893129771,-1.05852417303,-0.895674300254,-0.256997455471,-1.22900763359,-1.34351145038,-0.465648854962,-0.595419847328,-1.33078880407,-0.862595419847,-0.786259541985
-2.56722689076,-2.45798319328,-1.7268907563,-2.35294117647,-2.85294117647,-1.97478991597,-1.68067226891,-4.08823529412,-2.21848739496,-0.647058823529,-1.68487394958,-1.34453781513,-1.63865546218,-1.77731092437,-4.50840336134,-1.91176470588,-1.99579831933,-4.76050420168,-1.23949579832,-1.94117647059
-0.0255102040816,-1.35714285714,-1.46428571429,-1.59183673469,-0.882653061224,-1.19387755102,-1.33163265306,-1.29081632653,-1.07142857143,-0.658163265306,-1.10714285714,-1.39285714286,-0.341836734694,-1.40306122449,-1.72959183673,-0.918367346939,-0.780612244898,-1.99489795918,-1.43367346939,-0.571428571429
-1.11966824645,-1.65639810427,-1.13151658768,-1.68838862559,-2.95853080569,-1.34834123223,-1.5,-2.67298578199,-1.2855450237,-1.3163507109,-1.41587677725,-1.48104265403,-1.12203791469,-1.46800947867,-2.78199052133,-0.969194312796,-0.803317535545,-2.37677725118,-1.10426540284,-1.32227488152
-0.538011695906,-0.964912280702,-1.16959064327,-1.39766081871,-0.912280701754,-1.18128654971,-1.04093567251,-1.50877192982,-0.695906432749,-0.614035087719,-1.0701754386,-0.865497076023,-0.567251461988,-0.994152046784,-1.52046783626,-0.830409356725,-0.836257309942,-1.43859649123,-0.842105263158,-0.549707602339
-0.566666666667,-1.02222222222,-1.33888888889,-1.36111111111,-1.06111111111,-1.07222222222,-0.983333333333,-1.52222222222,-0.716666666667,-0.661111111111,-1.04444444444,-0.8,-0.644444444444,-1.11666666667,-1.62222222222,-0.822222222222,-0.888888888889,-1.71666666667,-0.872222222222,-0.622222222222
-0.529069767442,-1.00581395349,-1.18023255814,-1.43023255814,-0.970930232558,-1.13953488372,-1.07558139535,-1.61046511628,-0.68023255814,-0.529069767442,-1.06976744186,-0.970930232558,-0.540697674419,-0.970930232558,-1.63953488372,-0.825581395349,-0.848837209302,-1.40697674419,-0.895348837209,-0.53488372093
-0.537572254335,-0.791907514451,-1.3063583815,-1.29479768786,-0.93063583815,-1.06936416185,-1.04624277457,-1.28323699422,-0.624277456647,-0.560693641618,-0.901734104046,-0.71098265896,-0.583815028902,-1.07514450867,-1.36416184971,-0.705202312139,-0.751445086705,-1.52601156069,-0.768786127168,-0.485549132948
-0.479532163743,-1.05263157895,-1.25730994152,-1.22807017544,-1.0350877193,-1.09941520468,-1.06432748538,-1.52631578947,-0.812865497076,-0.719298245614,-1.16374269006,-0.894736842105,-0.608187134503,-1.01169590643,-1.58479532164,-0.865497076023,-0.87134502924,-1.54970760234,-0.906432748538,-0.573099415205
-0.561797752809,-0.983146067416,-1.43820224719,-1.49438202247,-1.11235955056,-1.16292134831,-1.05617977528,-1.52247191011,-0.814606741573,-0.679775280899,-1.05617977528,-0.848314606742,-0.640449438202,-1.13483146067,-1.55056179775,-0.932584269663,-0.932584269663,-1.7808988764,-0.983146067416,-0.584269662921
-0.5,-1.02222222222,-1.35555555556,-1.27777777778,-1.13888888889,-1.11111111111,-1.02222222222,-1.4,-0.644444444444,-0.65,-0.922222222222,-0.894444444444,-0.527777777778,-1.07222222222,-1.45,-0.794444444444,-0.833333333333,-1.76111111111,-0.766666666667,-0.505555555556
