acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17
0.06587338,0.01391724,0.02316338,-0.11142696,-0.08477752,-0.04810604,-0.03274781,0.00607884,-0.02012157,-0.03422483,-0.08839891,0.08426539,0.0803042,0.12209215,0.11177377,-0.08749734,0.03988162,-0.03307176
-0.00817713,0.00706167,0.04341409,-0.11546017,-0.11276873,0.02279763,-0.01710006,0.04423003,-0.0093742,0.01043805,-0.02063133,0.00697744,0.10435794,0.02328695,0.11933995,-0.02375823,0.04944381,-0.03770229
-0.03275306,-0.01394321,0.0416409,-0.11767425,-0.09549362,0.0367922,-0.02329359,0.03571179,0.07201181,-0.03712615,-0.14418145,0.10503559,0.10155988,0.02522369,0.10751137,-0.00587934,-0.01529897,0.0032073
-0.01714842,-0.04016285,0.00152588,-0.01984249,-0.0031961,-0.02260926,-0.00576874,0.02752213,0.02170483,-0.01113675,-0.06567287,0.03893418,0.10021175,-0.04139412,-0.11721531,0.05749006,0.05161005,-0.078063
-0.03341695,-0.09329,-0.01448977,-0.27523077,-0.2736683,-0.02293765,0.08796441,0.07560805,0.06381596,-0.05778487,-0.02048857,0.02857067,0.29229987,-0.0605382,0.26103124,0.03464236,0.23150589,-0.15373725
-0.08888166,0.0139284,0.01834824,-0.28096596,-0.14517571,-0.0366121,-0.0426522,0.1700246,0.08580505,-0.10354926,-0.05682763,0.06363062,0.16743311,-0.00224222,0.24805051,-0.0394088,0.17908748,-0.07997088
-0.09446552,-0.09844491,-0.00142197,-0.11253617,-0.10329099,0.00696747,0.07704122,0.01491103,0.13717044,-0.0336046,-0.0285542,0.01538051,0.0827829,0.09161461,0.14376947,-0.09709161,-0.02663359,0.06591118
-0.00048304,-0.00920231,0.0115356,-0.17671463,-0.0697408,-0.04229232,0.01594721,0.03829978,-0.0034167,-0.03926459,-0.02345087,0.03138047,0.13312505,0.01197486,0.11700234,-0.02437196,0.03102746,-0.03198608
-0.06283032,-0.19659439,-0.01490781,-0.19317636,-0.14978621,-0.10011965,0.202663,0.07904753,0.09019081,-0.06465267,-0.11755946,0.08734019,0.23325448,0.07346431,0.10973802,-0.05960978,0.10125102,-0.14706265
-0.04040013,-0.00123019,0.01198812,-0.05602432,-0.0335291,0.05871136,0.05465234,-0.02307805,-0.0147463,0.02184076,-0.00819659,-0.00139199,0.08449532,0.02971028,0.02751691,-0.04080564,-0.00742969,0.00919272
0.03405609,0.02068314,-0.00027731,-0.13824356,-0.12573177,-0.01766738,-0.01513742,-0.04790457,-0.0420015,0.05573949,-0.03104385,0.02523601,0.10598644,-0.02985266,0.12684769,0.05767309,0.03484692,0.02647461
-0.04381016,0.04239997,-0.02042885,-0.14967204,-0.13992458,-0.00995229,0.00299757,0.01630105,-0.01426818,0.00888149,-0.10091519,0.09333566,0.09150344,0.05000552,0.18517539,-0.04406089,-0.06361486,0.12400299
-0.36687171,-0.30259762,-0.11512388,0.0742124,-0.02876345,-0.04953468,0.35371795,0.1196683,0.26965251,-0.16825247,-0.01115009,0.05034533,0.00490745,-0.10908227,0.03691871,-0.0482986,0.10980599,-0.14707066
0.08051567,0.05112927,0.03428758,-0.16360395,-0.1127324,-0.0089238,-0.04475904,-0.12773308,-0.11754392,0.15833393,0.0379353,-0.0344708,0.13677896,-0.04272089,0.10496561,0.06259045,0.0579261,-0.01178304
-0.03650818,-0.020296,0.03222337,-0.02991039,0.02774837,0.05926574,0.03324854,0.02970246,0.06198684,0.00174776,-0.05336544,0.0822538,0.01250769,-0.02204181,0.02205688,0.00988936,0.01769788,-0.00683717
-0.07062501,-0.10070578,0.08221885,-0.11591834,-0.13868345,0.01197201,0.10260681,0.02975459,0.06000225,-0.00099026,-0.07033614,0.0422486,0.18214087,0.11956607,0.12052873,-0.10194561,-0.00847461,-0.03554134
-0.03652394,-0.02304945,-0.01195127,-0.03173071,-0.03595986,0.02496368,-0.00114426,0.03191819,0.04312079,-0.02823115,0.00615703,0.02367868,0.03140638,-0.08047315,0.06059126,0.02017442,0.01456288,-0.0044539
-0.03127243,-0.03919538,0.03695915,-0.06138215,-0.01332323,-0.05243784,0.07106135,0.00737011,0.00282858,0.03744834,-0.06474854,-0.00980615,0.03635816,0.07877171,0.01126358,-0.00432764,-0.01089302,0.0371163
0.01342504,-0.03167828,-0.03939647,-0.09233013,-0.0400711,0.00026346,0.00665118,-0.02116369,0.01837629,0.04645321,-0.03616012,0.04896575,0.02825581,0.01368432,0.08756034,0.01286788,-0.02340107,-0.01365021
0.05405502,-0.03647011,0.00501047,-0.0539494,-0.01254688,-0.00267497,0.0384825,-0.04574489,-0.06809367,0.09902686,0.03690337,-0.05143317,0.04587102,-0.03687517,0.04553315,0.02192622,-0.01889203,-0.01135824
-0.04987714,-0.02806991,-0.01967688,-0.09607581,-0.0823645,0.01638535,0.01240848,0.04937841,0.07246979,-0.03514805,-0.00997261,0.03723195,0.12901241,-0.00636136,0.06364624,0.01697606,0.00073466,-0.03086897
-0.01819581,-0.00521805,-0.05297713,-0.10150307,-0.04229584,-0.01307392,-0.0064727,0.0296008,0.03280516,-0.00491381,-0.00056988,0.01809126,0.0590285,0.01868112,0.09310987,-0.04609317,-0.06866826,0.07558159
0.13597318,0.00342821,-0.01281907,0.25265448,-0.00961558,0.1006152,0.00483383,-0.1598596,-0.09226667,0.10866453,0.11714137,-0.17055212,-0.07652057,-0.17282982,-0.11325723,0.09814954,-0.12674757,0.05694562
-0.04539504,-0.0624096,-0.02346103,0.00344307,-0.05274324,-0.04333812,0.09045492,0.00162396,0.02939689,-0.02608207,0.00574158,0.0078829,0.04632607,-0.01838451,-0.00291227,0.01896688,0.02447557,-0.00515217
-0.18946477,-0.17480258,0.05864376,0.07150548,0.07597451,0.00252988,0.18157739,0.17610542,0.13527689,-0.13772188,-0.00166125,-0.07721428,-0.06159343,0.07043551,-0.06390839,-0.05849862,-0.03530954,0.01596126
-0.17893379,-0.09850951,0.06184477,-0.01355364,-0.00330446,0.08116183,0.18275011,0.16668362,0.04679059,-0.16102357,0.02329315,-0.06198172,-0.01631237,0.03111489,0.01781043,-0.03163763,-0.12057605,0.08518316
0.04352848,-0.00247331,-0.00499524,0.08400268,-0.01883186,-0.02459734,0.00851171,-0.0212435,-0.03274397,0.04668765,0.01565591,0.00051605,-0.09418196,0.02565072,0.00979862,-0.06679245,-0.06679925,0.12433757
-0.14108475,-0.08949152,-0.10416527,-0.06599205,-0.04452116,-0.07885547,0.20086445,0.1118184,0.02369993,-0.06508756,0.09022579,-0.07387367,0.02195021,0.08411786,0.0682529,-0.11750588,0.02620605,-0.00484573
-0.18855236,-0.17706586,-0.04464842,0.11916898,0.07756179,-0.00256485,0.19266889,0.18657247,0.15288897,-0.14327443,0.1332838,-0.05677525,-0.06030968,0.00448697,-0.0755323,-0.02760435,0.05743652,-0.04688302
-0.21380539,-0.18267305,0.05971584,0.01343182,0.05798229,-0.01301943,0.18788118,0.1482285,0.18228334,-0.1915948,0.08180753,-0.02110113,-0.05869681,0.01783754,-0.04604487,-0.0622013,-0.00494565,0.0131377
-0.10175613,-0.05509995,-0.07573599,-0.10110136,-0.02173688,-0.04218466,0.08994248,0.13633798,0.02400149,-0.12609275,0.02060212,0.06039319,0.04962687,0.10704279,0.0607733,-0.11184614,0.00984438,0.01802843
-0.05131856,0.06683203,0.00459722,-0.12690378,-0.21095342,0.09675756,-0.00542201,-0.03255737,-0.04440308,0.05713951,0.09135505,-0.07850498,0.17840866,0.02069967,0.16854234,-0.03252062,-0.08892028,0.04172835
-0.03665222,-0.04769577,-0.00678621,-0.17228304,-0.1494601,-0.02144388,0.04939629,-0.09417159,0.00053354,0.06273057,0.06372835,-0.04780614,0.14881785,0.05113996,0.18199045,-0.07024144,-0.05153012,0.06155707
-0.05276448,-0.07514606,0.01757631,-0.18825766,-0.11834316,-0.02735277,0.08545383,-0.11110208,0.02097857,0.10592672,0.13989506,-0.09631828,0.10511354,0.10839666,0.20614413,-0.0903937,0.01088304,0.02567176
-0.01014392,-0.03481466,-0.02316552,-0.17942704,-0.18943389,-0.01645394,0.05398382,0.02438315,0.00103002,-0.00718097,0.10939036,-0.08304134,0.20539561,0.10758737,0.16326718,-0.11656142,-0.07417047,0.0459945
-0.03496551,-0.04708035,0.01995145,-0.15860331,-0.12838794,-0.02283845,0.06661015,-0.04061711,-0.02695611,0.04695042,0.05671238,-0.05543299,0.13279518,0.10889869,0.16421627,-0.12014731,0.01015059,-0.0244832
0.00015586,0.00010916,-0.04239445,-0.11586304,-0.16335692,-0.01316371,0.04188172,-0.02193887,-0.0323423,0.0347016,0.07073083,-0.07517104,0.14954229,0.09423954,0.14673677,-0.12344846,-0.06445121,0.0629549
