gaac_0,gaac_1,gaac_2,gaac_3,gaac_4
0.321503131524,0.13987473904,0.189979123173,0.135699373695,0.212943632568
0.421545667447,0.110070257611,0.126463700234,0.096018735363,0.245901639344
0.435,0.14,0.1325,0.0725,0.22
0.384223918575,0.150127226463,0.111959287532,0.0941475826972,0.259541984733
0.331932773109,0.163865546218,0.155462184874,0.0966386554622,0.252100840336
0.448979591837,0.102040816327,0.107142857143,0.0765306122449,0.265306122449
0.381516587678,0.132701421801,0.165876777251,0.101895734597,0.218009478673
0.46783625731,0.140350877193,0.146198830409,0.0877192982456,0.157894736842
0.477777777778,0.127777777778,0.161111111111,0.0722222222222,0.161111111111
0.459302325581,0.139534883721,0.168604651163,0.0813953488372,0.151162790698
0.479768786127,0.138728323699,0.156069364162,0.0751445086705,0.150289017341
0.473684210526,0.140350877193,0.116959064327,0.0701754385965,0.198830409357
0.426966292135,0.14606741573,0.11797752809,0.0786516853933,0.230337078652
0.438888888889,0.116666666667,0.0777777777778,0.0888888888889,0.277777777778
0.43023255814,0.139534883721,0.133720930233,0.093023255814,0.203488372093
0.5,0.104651162791,0.139534883721,0.0813953488372,0.174418604651
0.468208092486,0.14450867052,0.150289017341,0.0982658959538,0.138728323699
0.450867052023,0.156069364162,0.121387283237,0.0867052023121,0.184971098266
0.409395973154,0.147651006711,0.147651006711,0.0402684563758,0.255033557047
0.419452887538,0.100303951368,0.142857142857,0.0790273556231,0.258358662614
0.369047619048,0.151785714286,0.151785714286,0.0863095238095,0.241071428571
0.431677018634,0.127329192547,0.130434782609,0.0900621118012,0.22049689441
0.38202247191,0.112359550562,0.168539325843,0.0898876404494,0.247191011236
0.449438202247,0.140449438202,0.134831460674,0.0758426966292,0.199438202247
0.414893617021,0.13829787234,0.18085106383,0.031914893617,0.234042553191
0.5,0.148936170213,0.18085106383,0.0425531914894,0.127659574468
0.442196531792,0.147398843931,0.130057803468,0.0317919075145,0.248554913295
0.445378151261,0.151260504202,0.126050420168,0.0336134453782,0.243697478992
0.443181818182,0.136363636364,0.107954545455,0.03125,0.28125
0.416666666667,0.115384615385,0.173076923077,0.0448717948718,0.25
0.495798319328,0.126050420168,0.151260504202,0.0420168067227,0.18487394958
0.409448818898,0.149606299213,0.149606299213,0.0314960629921,0.259842519685
0.44921875,0.115234375,0.123046875,0.0546875,0.2578125
0.456953642384,0.122516556291,0.14238410596,0.0629139072848,0.215231788079
0.494845360825,0.113402061856,0.154639175258,0.0412371134021,0.19587628866
0.353896103896,0.152597402597,0.11038961039,0.100649350649,0.282467532468
0.43023255814,0.124031007752,0.15503875969,0.0581395348837,0.232558139535
0.43893129771,0.110687022901,0.145038167939,0.0687022900763,0.236641221374
0.449275362319,0.115942028986,0.202898550725,0.0289855072464,0.202898550725
0.439814814815,0.166666666667,0.106481481481,0.0694444444444,0.217592592593
0.469194312796,0.132701421801,0.151658767773,0.0379146919431,0.208530805687
0.386363636364,0.159090909091,0.131818181818,0.0636363636364,0.259090909091
0.358208955224,0.125,0.141791044776,0.117537313433,0.257462686567
0.475095785441,0.111111111111,0.114942528736,0.0536398467433,0.245210727969
0.479166666667,0.139880952381,0.110119047619,0.0654761904762,0.205357142857
0.442013129103,0.118161925602,0.105032822757,0.074398249453,0.260393873085
0.380654140571,0.144745998608,0.154488517745,0.0862908837857,0.23382045929
0.424354243542,0.09963099631,0.118081180812,0.10332103321,0.254612546125
0.316455696203,0.253164556962,0.0632911392405,0.0632911392405,0.303797468354
0.399711399711,0.1443001443,0.147186147186,0.0750360750361,0.233766233766
0.389189189189,0.12972972973,0.145945945946,0.0756756756757,0.259459459459
0.365591397849,0.112903225806,0.139784946237,0.112903225806,0.268817204301
